,컨텐츠 번호,식물명
0,12938,가울테리아
1,12954,개운죽
2,12955,골드크레스트 '윌마'
3,12957,공작야자
4,12962,관엽베고니아
5,12963,관음죽
6,12966,구문초
7,12972,구즈마니아
8,12974,군자란
9,12988,글레코마
10,12990,금목서
11,12994,금사철나무
12,12998,금식나무
13,13186,금전수
14,13196,금천죽
15,13199,기누라
16,13201,꽃베고니아
17,13202,나도풍란
18,13203,나한송
19,13206,남천
20,13207,네마탄투스
21,13208,네오레겔리아
22,13210,녹영
23,13218,뉴기니아봉선화
24,13333,대만고무나무
25,13335,더피고사리
26,13336,덕구리난
27,13337,데코라고무나무
28,13338,덴파레
29,13339,도깨비고비
30,13340,돈나무
31,14663,동백
32,14674,둥근잎 아랄리아
33,14675,듀란타
34,14676,드라세나  '송오브자마이카'
35,14687,드라세나  '와네끼'
36,14694,드라세나 '송오브인디아'
37,14696,드라세나 '자바'
38,14697,드라세나 '콤팩타'
39,14698,드라세나 '트리컬러 레인보우'
40,14688,드라세나 드라코
41,14689,드라세나 마지나타
42,14690,드라세나 맛상게아나
43,14691,드라세나 산데리아나
44,14692,드라세나 산데리아나 '세레스'
45,14695,드라세나 수르쿨로사
46,14699,디지고데카
47,14700,디펜바키아 '마리안느'
48,14713,디펜바키아 '트로픽스노우'
49,14911,떡갈잎 고무나무
50,14913,러브체인
51,14920,렉스베고니아
52,15830,루모라고사리
53,16034,루스커스
54,16038,마란타 류코뉴라
55,16238,마삭줄
56,16239,만년청
57,16241,만데빌라
58,16245,멕시코소철
59,16246,멜라니 고무나무
60,16448,목베고니아
61,16449,몬스테라
62,17749,무늬관음죽
63,17750,무늬마삭줄
64,17751,무늬벤자민고무나무
65,18575,무늬산호수
66,18576,무늬석창포
67,18593,무늬쉐플레라'홍콩'
68,18596,무늬알피니아
69,18597,무늬유카
70,18599,무늬접란
71,18600,무늬털머위
72,18602,무늬팻츠헤데라
73,18604,무늬푸밀라고무나무 
74,18649,뮤렌베키아
75,18656,바위취
76,18659,박쥐란
77,18692,반딧불털머위
78,18694,백량금
79,14915,백정화
80,14916,백화등
81,14919,벤자민고무나무
82,15828,벤자민고무나무 '킹'
83,15831,벵갈고무나무
84,15835,병솔나무
85,16037,보스톤고사리
86,16138,봉의꼬리
87,18613,부겐빌레아
88,18652,브룬펠시아
